id,anchor,ROUGE-L,BLEU,Token-F1,BERTScore
1,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,0.9148264984227129,0.8344213054147583,0.9122807017543859,0.9688187837600708
2,What are the primary components of globalization that affect how the practice of medicine takes place in the U.S.?,0.9975786924939467,0.9167276634244356,0.9688581314878892,0.9769895672798157
3,What is the name of the six-part comic book mini-series based on a character in Call of Duty: Modern Warfare 2?,0.9972299168975068,0.8313505231652228,0.8952380952380953,0.9714896082878113
4,What was the nickname of the 1967 Red Sox team that outperformed expectations and made it to the World Series,0.20149253731343283,0.009287479672356797,0.2430939226519337,0.843457043170929
5,what negative element was introduced into the the campaign between andrew jackson and john ouincy adams,1.0,0.9953378683790134,0.9926470588235294,0.9930633306503296
6,What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain?,0.966183574879227,0.9287683752305473,0.9692307692307692,0.9814355373382568
7,what kind of material was able to survive near the sun during the development of the solar system,0.9779951100244498,0.9483285128079956,0.9763779527559056,0.9896764159202576
8,How did women work for equal rights during the women's movement? Were their efforts successful?,0.23628691983122363,0.11838405524898013,0.29965156794425085,0.8416491150856018
9,what are organic semiconductors and what is concept of homo and lumo in organic semiconductor,0.7405541561712846,0.6935041496222404,0.7940074906367042,0.926362156867981
10,how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,0.755952380952381,0.5230224983701037,0.7733333333333333,0.9540602564811707
11,how do you make an older version of windows movie maker compatible with the new live version,0.5429362880886427,0.2663238133540283,0.5497630331753555,0.9262050986289978
12,"Who played the role of Tracy Turnblad in the original 1988 version of the movie ""Hairspray""?",0.910411622276029,0.8235172487439,0.910394265232975,0.9633303880691528
13,What is the name of the author who wrote Chitty Chitty Bang Bang and the James Bond novels?,1.0,1.0,1.0,0.996428370475769
14,who discovered am and made the first successful amplitude-modulated transmission of voice?,0.9973045822102425,0.989040682293045,0.9914529914529915,0.982104480266571
15,What is the name of the main male character in the last song that miley falls in love with,1.0,1.0,1.0,0.9999567270278931
16,what are the impacts of information communication technology to public relation practices,0.985,0.9565556748249245,0.9761904761904762,0.9796018600463867
17,What did movie theaters do for sound before synchronized sound was introduced into film,0.887912087912088,0.7873160154389088,0.8926174496644296,0.9463403224945068
18,What U.S. President's head has been featured on the nickel (five-cent coin) since 1938?,0.9701149425287356,0.9353330887802397,0.9764309764309764,0.9872463941574097
19,what where the most important factors that led to the defeat of the democrates in 1968?,0.24376731301939059,0.09294082406580231,0.336283185840708,0.8604416251182556
20,who invented the biological system of nomenclature used to classify plants and animals,0.9875776397515528,0.9212522826400317,0.9696969696969697,0.9655861258506775
21,How are the directions of the velocity and force vectors related in a circular motion,0.9898477157360407,0.9796431000253993,0.9959514170040485,0.990453839302063
22,what happened to the new condos built at st clair ave and mt vernon in columbus ohio,0.9370629370629372,0.8490175228950503,0.9163346613545816,0.9657983779907227
23,what is the term used to describe a period o high anti- Communist feelings in the US,0.6390532544378696,0.2884972459009692,0.6172839506172839,0.928507924079895
24,what is the name of the episode in full house when uncle jesse locked michelle out,1.0,0.9950615774798434,0.9921875,0.997615396976471
25,where would you be standing on june 21 if the sun were directly overhead at noon.,0.6821192052980132,0.4138080991773701,0.7136150234741784,0.9300119876861572
26,how were europe colonist able to establish population centers in southern africa,1.0,0.9766921249696038,0.9923664122137404,0.9941011667251587
27,Who worked out the reactions that occur in the dark reactions of photosynthesis?,0.978021978021978,0.9427180311555106,0.9672131147540983,0.9878162741661072
28,What songs were used in the Viva La Bam episode Raab's Russian Mail Order Bride,0.8553054662379421,0.4563746539406698,0.74,0.9158259034156799
29,how old do you need to be to play professional football in the canadian league,0.7422680412371134,0.4849014891599142,0.819672131147541,0.9525894522666931
30,what happens to the chemical composition of cocaine when you add it to alcohol,1.0,1.0,1.0,0.9999876022338867
31,who was the quarterbacks in the super bowl between the steelers nd the cowboys,0.9882903981264637,0.9636031127928603,0.993103448275862,0.9910166263580322
32,what are the Declaration and Resolves of the First Continental Congress about,1.0,1.0,1.0,0.9919593930244446
33,Who is the rap singer in right round with kesha in the background? *(dancer)*,1.0,1.0,1.0,0.9999951124191284
34,what does doug's father in law say about vegas before he leaves the hangover,0.14285714285714285,0.0013571934313809106,0.17989417989417988,0.831294059753418
35,what was the Germans' last offensive on the western Front during World war 2,0.5794871794871794,0.9361555167136653,0.9714285714285714,0.9576427340507507
36,What implication(s) does the law of conservation of matter have for humans?,0.9973045822102425,0.989040682293045,0.9914529914529915,0.982104480266571
37,what form of decay does not change the atomic number of them decaying atom?,0.9055690072639225,0.8244751902171026,0.9072164948453608,0.9575391411781311
38,what is only constitutional leadership position in house of representatives,1.0,0.9949873108392188,0.9916666666666667,0.9975377917289734
39,who was the player for the detroit lions that wayne fontes did a tribute to,0.9795918367346939,0.9632533032823728,0.9708029197080292,0.9835942387580872
40,how much will a transfusion of platelet apheresis raise the platelet count,0.9947643979057592,0.9947778894146209,0.9926470588235294,0.9964313507080078
