id,anchor,ROUGE-L,BLEU,Token-F1,BERTScore
1,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,0.7096774193548387,0.5125637136523745,0.7708333333333334,0.9317654371261597
2,What are the primary components of globalization that affect how the practice of medicine takes place in the U.S.?,0.8826530612244897,0.7369170998457619,0.8518518518518519,0.948260486125946
3,What is the name of the six-part comic book mini-series based on a character in Call of Duty: Modern Warfare 2?,0.8676470588235294,0.7080468243526823,0.8595744680851064,0.9293724298477173
4,What was the nickname of the 1967 Red Sox team that outperformed expectations and made it to the World Series,0.4225352112676056,0.09136192476891165,0.43617021276595747,0.869356095790863
5,what negative element was introduced into the the campaign between andrew jackson and john ouincy adams,0.18991097922848665,0.10870492708262529,0.28846153846153844,0.8503942489624023
6,What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain?,0.41176470588235287,0.18013408290628982,0.5130890052356021,0.878433108329773
7,what kind of material was able to survive near the sun during the development of the solar system,0.8617886178861788,0.7678810565297906,0.8669527896995708,0.9412760138511658
8,How did women work for equal rights during the women's movement? Were their efforts successful?,0.6503496503496503,0.389138488112362,0.676923076923077,0.9030738472938538
9,what are organic semiconductors and what is concept of homo and lumo in organic semiconductor,0.6750788643533123,0.4989607380342958,0.6604651162790698,0.9181257486343384
10,how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,0.5503355704697986,0.23316054447944745,0.5882352941176471,0.9075146913528442
11,how do you make an older version of windows movie maker compatible with the new live version,0.7423312883435583,0.6025925800903976,0.7684210526315789,0.9316925406455994
12,"Who played the role of Tracy Turnblad in the original 1988 version of the movie ""Hairspray""?",0.234375,0.060611911832765465,0.3516483516483517,0.8650626540184021
13,What is the name of the author who wrote Chitty Chitty Bang Bang and the James Bond novels?,0.9755011135857462,0.9550550182226838,0.9754385964912281,0.9819303154945374
14,who discovered am and made the first successful amplitude-modulated transmission of voice?,0.903954802259887,0.821934955697735,0.875,0.9671704769134521
15,What is the name of the main male character in the last song that miley falls in love with,0.24264705882352944,0.0531922263128579,0.32967032967032966,0.8513233065605164
16,what are the impacts of information communication technology to public relation practices,0.6188925081433224,0.3418105373732777,0.6796116504854369,0.9143797755241394
17,What did movie theaters do for sound before synchronized sound was introduced into film,0.49851632047477745,0.30785091575398815,0.6106194690265486,0.9037123322486877
18,What U.S. President's head has been featured on the nickel (five-cent coin) since 1938?,0.8359788359788359,0.7143425422262054,0.8396946564885496,0.9552310109138489
19,what where the most important factors that led to the defeat of the democrates in 1968?,0.6191950464396285,0.312550274437632,0.6509433962264151,0.9067724943161011
20,who invented the biological system of nomenclature used to classify plants and animals,0.9520958083832336,0.9118308465635903,0.9451476793248945,0.9654943346977234
21,How are the directions of the velocity and force vectors related in a circular motion,0.9554455445544554,0.9237146464906584,0.9761904761904762,0.9754617214202881
22,what happened to the new condos built at st clair ave and mt vernon in columbus ohio,0.6666666666666666,0.4297985708838507,0.6432160804020101,0.9146167039871216
23,what is the term used to describe a period o high anti- Communist feelings in the US,0.7014492753623188,0.4396735064347903,0.694560669456067,0.9245773553848267
24,what is the name of the episode in full house when uncle jesse locked michelle out,0.6704545454545455,0.4729117129074613,0.7043478260869566,0.9073064923286438
25,where would you be standing on june 21 if the sun were directly overhead at noon.,0.09917355371900827,0.0002507673975518425,0.15028901734104047,0.8241124153137207
26,how were europe colonist able to establish population centers in southern africa,0.6556291390728477,0.4007521237056402,0.6826923076923077,0.9150701761245728
27,Who worked out the reactions that occur in the dark reactions of photosynthesis?,0.6642857142857144,0.41781164676980753,0.680628272251309,0.9170048832893372
28,What songs were used in the Viva La Bam episode Raab's Russian Mail Order Bride,0.794425087108014,0.7256471267600597,0.7486631016042781,0.9523640871047974
29,how old do you need to be to play professional football in the canadian league,0.37593984962406024,0.13684177839747996,0.46706586826347307,0.8648280501365662
30,what happens to the chemical composition of cocaine when you add it to alcohol,0.6711409395973154,0.41542049141020065,0.6787330316742082,0.8978372812271118
31,who was the quarterbacks in the super bowl between the steelers nd the cowboys,0.40143369175627236,0.07750341992597878,0.48514851485148514,0.885482132434845
32,what are the Declaration and Resolves of the First Continental Congress about,0.1357142857142857,0.0023219904375347987,0.1414141414141414,0.8108563423156738
33,Who is the rap singer in right round with kesha in the background? *(dancer)*,0.7697368421052632,0.5551486624887938,0.8390243902439024,0.9239546656608582
34,what does doug's father in law say about vegas before he leaves the hangover,0.5524475524475525,0.23300556920681909,0.5853658536585366,0.8994565606117249
35,what was the Germans' last offensive on the western Front during World war 2,0.8842592592592592,0.8109994688657554,0.9102990033222591,0.9693960547447205
36,What implication(s) does the law of conservation of matter have for humans?,0.903954802259887,0.821934955697735,0.875,0.9671704769134521
37,what form of decay does not change the atomic number of them decaying atom?,0.7975460122699386,0.6572089958089921,0.8,0.9312562942504883
38,what is only constitutional leadership position in house of representatives,0.47686832740213525,0.1752472371688094,0.6111111111111112,0.8988394141197205
39,who was the player for the detroit lions that wayne fontes did a tribute to,0.9202127659574468,0.8869069228742439,0.9118773946360154,0.973272979259491
40,how much will a transfusion of platelet apheresis raise the platelet count,0.42687747035573126,0.1078242237021959,0.4973544973544973,0.890363872051239
41,WHAT DID MARLON BRANDO DO WITH THE BUTTER IN THE MOVIE LAST TANGO IN PARIS,0.2730923694779116,0.07730166493219648,0.3393939393939394,0.8468499779701233
42,What are the fundamentals of Bretton Woods system for fixed exchange rates,0.8927536231884058,0.8596218596428634,0.9140625,0.9707637429237366
43,What is the complete ground state electron configuration for the iron atom,0.7068273092369478,0.4624603677421564,0.6966292134831461,0.8734124302864075
44,"What is the HSMR percentage for the UAB Medical Center in Birmingham, ALA?",0.8341968911917098,0.7086555411579831,0.8571428571428571,0.9403001070022583
45,What are the two initials of the first US president to resign from office,0.8259587020648967,0.6941054256389366,0.8559322033898306,0.942815363407135
46,what is the name of the family guy episode where lois's sister has a baby,0.5019011406844107,0.18129142446484867,0.5508982035928144,0.9084210991859436
47,How Do You Find the mean of the squares of the first 10 counting numbers,0.7125748502994013,0.5212549049047907,0.7426160337552743,0.9341086149215698
48,"what does it mean when isaiah of the bible in chapter 55:verses 8,9 mean",0.756923076923077,0.6732487269686038,0.7478991596638656,0.9267232418060303
49,what board game are they playing in the 17th episode of big bang theory?,0.8238341968911918,0.7123115440743214,0.825531914893617,0.9462073445320129
50,what is the difference between magic eye 3d illusions and 3d technology?,0.3761467889908257,0.06660539402268757,0.4358974358974359,0.8645509481430054
51,what kind of legal remedy is it to ask someone to fulfill there promise,0.9132653061224489,0.8689631816778609,0.9034749034749034,0.9696329832077026
52,who played derwin davis on the first 2 episodes of the tv show the game,0.4184397163120567,0.3410463629091112,0.5052631578947369,0.8634957075119019
53,what year did the beatles came out with the song i wanna hold your hand,0.3884297520661157,0.08236358866507926,0.4634146341463415,0.8827473521232605
54,who wrote the famous novel Great books of  the western world volume 27?,0.9579831932773109,0.9094925352445964,0.9459459459459459,0.9751294851303101
55,"What year does the short story ""There Will Come Soft Rains"" take place?",0.5995203836930455,0.5567083478805992,0.6431372549019608,0.9148255586624146
56,what was the main contribution of john maynard keynes made to economics,0.4173228346456692,0.08687396794887586,0.4685714285714286,0.891407310962677
57,how old was britney spears when she recorded hit me baby one more time,0.7470588235294118,0.5588130675262747,0.7641509433962265,0.9251169562339783
58,what christmas tree did white house have in 2011 AND where was it from,0.9723502304147466,0.9399521580743133,0.9664429530201343,0.9819833040237427
59,how will a uk collection company collect money when you are in the usa,0.5827814569536425,0.33750714417583505,0.6568627450980392,0.9277796745300293
60,when did the UK Labour Government replace the Conservative Government?,0.6934984520123839,0.4569523745189176,0.7222222222222222,0.9209491610527039
61,when did zacharias janssen make a discovery related to the cell theory,0.653968253968254,0.3876722245411141,0.7075471698113207,0.9198082089424133
62,What political conflicts marked the presidency of William Howard Taft?,0.8051948051948052,0.6680137200275021,0.8151658767772512,0.940916895866394
63,who was the first to argue that the sun was the center of the universe,0.4945454545454545,0.15345615759370018,0.5193370165745856,0.8926764130592346
64,what ever happened to the survivors of the 1989 california earthquake,0.236734693877551,0.009278052129620079,0.2953020134228188,0.8689481616020203
65,Who holds records for most weeks spent at number one as female artist,0.5954692556634303,0.3220731062957821,0.7070707070707071,0.9381120204925537
66,what other territories did the english sharing the island of st kitts,0.5328467153284672,0.21696818090890874,0.5414364640883977,0.8905959129333496
67,what is the age you have to be to have the right to freedom of speech,0.9548693586698337,0.9344950769754603,0.946236559139785,0.9755346775054932
68,what was the distance of evacuation from the russian nuclear meltdown,0.6666666666666665,0.4067894568813669,0.7337278106508875,0.9004883766174316
69,what country in the middle east did france take control of after ww1,0.36012861736334406,0.20890525253459002,0.3389830508474576,0.8606788516044617
70,how did elvis presley contribute to the popularity of rock and roll?,0.5,0.1835589789703699,0.5444444444444444,0.9003210663795471
71,what the multiple endings of john say about its possible authorship;,0.26877470355731226,0.04134661565045812,0.3118279569892473,0.8542987108230591
72,"what types of trees, flowers, or plants are commonly found in canada",0.9531914893617022,0.9163103310076665,0.9591836734693877,0.970099687576294
73,who are the current minority leaders in the house of representatives,0.12145748987854252,0.0020516579239862934,0.2602739726027397,0.8573044538497925
74,who was the republican candidate for president in the 1969 elections,0.3488372093023256,0.30057808386242585,0.625,0.8660732507705688
